nct_id,title,status,conditions,interventions,age_criteria,locations,eligibility_text
NCT06348693,Development of Therapeutic Approaches Modulating Molecular Targets Implicated on Cancer Stem Cell-related Aggressiveness,RECRUITING,glioblastoma|glioma|glioma glioblastoma multiforme,OTHER: cell isolation from tumor biopsies and biomarker investigation,"ADULT, OLDER_ADULT","Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milan, 20122, Italy","tumors of the central nervous system affect 21 people per 100,000 every year, a figure that refers to countries with advanced economies, with an increase in incidence over time. experimental evidence suggests that cancer stem cells (cscs) may play a key role in the malignancy of these tumors. in fact, due to the hypoxic tumor microenvironment, these cells are able to create compensatory pathways that confer stem-like, angiogenic and pro-tumoral functions. furthermore, it has been demonstrated that brain tumor stem cells are radio- and chemo-resistant and therefore not treatable with the therapeutic protocols currently in use. to date, in fact, there are no definitive treatments for the eradication of brain tumors. in this scenario, sphingolips, a class of lipid deputized to several physiological functions, are also involved in tumor onset, progression, drug resistance, and aggressiveness. in hypoxic tumor microenvironment, cscs present a modified rheostat in the metabolism of sphingolipid, in favor of sphingosine-1-phosphate (s1p).

s1p is an intermediate of sphingolipid metabolism, formed from sphingosine through the action of sphingosine kinases (sk). increasing evidence suggests that s1p acts as a tumor-promoting signal, predominantly in the extracellular environment, regulating important cellular properties correlated with tumor potential.

the project aims to identify new molecular and metabolic targets involved in the survival and chemo-resistance of tumor stem cells in relation to the tumor microenvironment."
NCT06869577,A Supportive Group Intervention for Caregivers to Patients Diagnosed With a Glioblastoma,NOT_YET_RECRUITING,caregiver|glioblastoma multiform (grade iv astrocytoma),OTHER: Project SUGRI: A supportive group intervention for caregivers to patients with a glioblastoma,"ADULT, OLDER_ADULT","Copenhagen University Hospital, Rigshospitalet, Copenhagen, 2100, Denmark",feasibility test and evaluation of a group intervention for caregivers to patients diagnosed with a glioblastoma.
NCT05086497,WBSI Guided Personalized Delivery of TTFields,RECRUITING,"gbm|glioma glioblastoma multiforme|tumor, brain",DIAGNOSTIC_TEST: Whole Brain Spectroscopy Imaging Array Mapping Layout,"ADULT, OLDER_ADULT","Abramson Cancer Center, Philadelphia, Pennsylvania, 19104, United States|Penn Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States","this research study is for glioblastoma (gbm) patients who will be beginning optune as part of their clinical care, which is a novel treatment that utilizes - tumor treating fields (ttfields), (aka, electrical therapy), which has shown to improve overall survival in large multi-center trials. as a part of this study, participants will either receive optune with ""standard array mapping"" (based on regular contrast enhanced mri) or an ""alternative (more precise) array mapping"" based on sophisticated state of the art mri techniques including ""whole brain spectroscopy"". whole brain mri spectroscopy provides additional metabolic information to map out the full extent of tumor spreading within the brain (far beyond from what is seen on regular mri), by identifying certain metabolites that are present in cancer cells versus healthy tissue. this study is being performed to show whether alternative array mapping improves treatment outcomes, as opposed to the standard array mapping, by maximizing delivery of ttfields dose, thereby achieving more effective tumor cell killing, decreasing the rate of local recurrence, and improving the overall survival as well as quality of life measures."
NCT01833273,Dose Evaluation Safety STudy IN Individuals With Astrocytoma Taking PolyMVA,COMPLETED,glioblastoma multiform (grade iv astrocytoma),DRUG: PolyMVA,"ADULT, OLDER_ADULT","Stony Brook University Medical Center, Stony Brook, New York, 11794, United States","in order to test the investigators hypothesis that 8 teaspoons of polymva is safe in a population of patients with grade iv brain astrocytoma (glioblastoma multiforme), the investigators will conduct an open-label, prospective, un-blinded study. the investigators expect that at least 70% of subjects will tolerate the supplement and complete the trial. the investigators expect no serious adverse event to occur during this trial which is attributable to study compound. during this study, the investigators will also collect other qualitative data to be utilized for future double-blinded studies which will be aimed at determining whether grade iv astrocytoma patients who receive polymva achieve a better quality of life during their chemo-therapeutic regimens versus grade iv astrocytoma patients who do not receive polymva."
NCT05896449,Predictive Values of Preoperative [68Ga]Ga-PSMA-11 PET/CT in Patients With Suspected Brain Tumours of Glial Origin,COMPLETED,"glioma, malignant|glioma glioblastoma multiforme",DIAGNOSTIC_TEST: [68Ga]Ga-PSMA-11 PET/CT,"ADULT, OLDER_ADULT","Nuclear Medicne Department Medical University of Warsaw, Warsaw, Masovian Voivodeship, 02-091, Poland",the aim of this study was to analyse usefulness of \[68ga\]ga-psma-11 pet/ct scans in preoperative differentiation between hgg and lgg in patients with suspicion of a tumor of glial origin in previously performed imaging examinations. the pet/ct scan will be compared with postoperative histopathological results and with additional immunohistochemical staining for psma expression.
NCT03291314,Clinical Trial on the Combination of Avelumab and Axitinib for the Treatment of Patients With Recurrent Glioblastoma,COMPLETED,recurrent glioblastoma (who-grade iv glioma),DRUG: Axitinib|DRUG: Avelumab,"ADULT, OLDER_ADULT","UZ Brussel, Brussels, 1090, Belgium","phase ii clinical trial on the combination of avelumab and axitinib for the treatment of patients with recurrent glioblastoma (histologically confirmed who grade iv glioma), at documented recurrence/progression following prior treatment with surgery, radiation therapy and temozolomide."
NCT03363659,Disulfiram and Copper Gluconate With Temozolomide in Unmethylated Glioblastoma Multiforme,TERMINATED,glioblastoma|glioblastoma multiforme,DRUG: Disulfiram|DIETARY_SUPPLEMENT: Copper gluconate|DRUG: Temozolomide,"ADULT, OLDER_ADULT","Aurora Health Care, Aurora St. Luke's Medical Center, Milwaukee, Wisconsin, 53215, United States",one of disulfiram antitumor effects suggested in preclinical studies is mgmt (methyl-guanine-methyl-transferase) inhibition. disulfiram mgmt inhibitory effect is enhanced by addition of copper. this study evaluates the impact of disulfiram (dsf) + copper (cu) combination when added to standard temozolomide in the treatment of unmethylated glioblastoma multiforme (gbm) patients.
NCT02795364,Study About the Validity of MRS-guided Resection on Prognosis High-grade Glioma Gliomas,UNKNOWN,glioma|anaplastic oligoastrocytoma|glioblastomas (gbm),PROCEDURE: Structural Image Guidance|PROCEDURE: Metabolic Image Guidance,"ADULT, OLDER_ADULT",,"gliomas,especially high-grade glioma ,are the most common primary malignant brain tumor in adults,yet outcomes from this aggressive neoplasm remain dismal.the extent of resection is one of the most essential factors that influence the outcomes of glioma resection.however, conventional structural imaging has failed to accurately delineate glioma margins because of tumor cell infiltration. the investigators have finished few project that suggest the feasibility of magnetic resonance spectrum(mrs)-guided resection,unfortunately, lacking sufficient clinical evidence.this prospective cohort study is to provide a clinical evidence for the validity of mrs-guided resection in patients with hgg ."
NCT02772094,Dendritic Cell-Based Tumor Vaccine Adjuvant Immunotherapy of Human Glioblastoma Multiforme (WHO Grade IV Gliomas),UNKNOWN,glioblastoma multiforme|glioblastoma,"BIOLOGICAL: Single arm, open-label","CHILD, ADULT, OLDER_ADULT","China Medical University Hospital, Taichung, 404, Taiwan","purposes:

the purpose of this phase-ii clinical trial is to determine whether or not adcta-g, a biologic ""vaccine"" preparation of patient's own dendritic cell (dc) for glioblastoma multiforme (gbm) treatment, is safe and effective in extending the gbm patient's life. the current conventional multi-modal regimen that may include surgery for tumor resection or biopsy, temozolomide (tmz) combined chemo-radiotherapy (ccrt) and tmz adjuvant chemotherapy almost always leaves residual gbm cells to cause fatal recurrence, leading to medium survival period of 8 -15 months and over-all survival rates of about 30% in 2 years and \<3% in 5 years after diagnosis/surgery. thus, in neurosurgical oncology practice, gbm patients in the first 2-year period during and after receiving multi-modal therapy are watched closely for possible gbm tumor recurrence and mortal disease relapse and immediately given palliative treatments and health care, until death. in this phase-ii trial, gbm patient participants who receive adcta-g ""vaccine"" adjuvant immunotherapy (added to the conventional multi-modal regimen) will be similarly watched closely by treatments and health care visits at least biweekly from the date of surgery/diagnosis to 24 months, and if alive followed by weekly phone calls and scheduled health care visits at least once every 3 months, up to 72 months after surgery. in the trial protocol, adct-g in 10 doses is administered after surgery, over a period of 6 or 8 months, as an adjuvant immunotherapy of the conventional multimodal regimen. individual adcta-g ""vaccine"" lot of every participant gbm patient is manufactured from patient's own monocyte-derived dendritic cells and the patient's own tumor cell antigens, both of which are prepared by a distinct method of procedures performed within air particle-free barrier good laboratory practice (glp) facility. previous phase i/ii clinical trial of adcta-g ""vaccine"" immunotherapy administered as an adjuvant to the conventional multimodal regimen, has obtained promising safety and efficacy results for gbm patients in a clinical center. this phase-ii clinical trial in china medical university hospital-taichung will employ essentially the same clinical protocols and the same distinct ""vaccine"" manufacturing method of standard operational procedures (sop), that is, the conventional multimodal regimen plus adjuvant immunotherapy using personal adcta-g ""vaccine"" lot for every gbm patient participants."
NCT04874506,MBM-02 (Tempol) for the Treatment of Glioblastoma Multiforme (GBM),UNKNOWN,glioblastoma|glioblastoma multiforme,DRUG: MBM-02,"ADULT, OLDER_ADULT","Georgetown, Washington D.C., District of Columbia, 20007, United States",mbm-02 (tempol) is an hif-1 and hif-2 inhibitor that is being tested as an addition to standard of care treatment that includes radiotherapy and tmz. mbm-02's ability to increase progression free survival and decrease side effects of tmz and radiotherapy treatment will be assessed.
NCT05958485,A Close Examination of Patient Experiences in Glioblastoma Multiforme Clinical Research,NOT_YET_RECRUITING,glioblastoma multiforme,,"ADULT, OLDER_ADULT","Power Life Sciences, San Francisco, California, 94107, United States","clinical research can sometimes favor certain demographic groups. additionally, there is limited research that delves into the factors that influence participation in clinical study, both positive and negative.

the goal is to identify the obstacles and challenges that prevent participation in glioblastoma multiforme clinical study, as well as the reasons for withdrawal or discontinuation.

insights gained from this study will ultimately benefit those with glioblastoma multiforme who may be invited to participate in clinical trial in the years to come."
NCT06939400,Photodynamic Therapy for Glioblastoma Multiforme Based on Metaverse and Yellow Fluorescence,NOT_YET_RECRUITING,glioblastoma multiforme (gbm),PROCEDURE: Photodynamic therapy (PDT)|PROCEDURE: GBM patients recevied traditional treatment options,"ADULT, OLDER_ADULT","Zhejiang Provincial People's Hospital, Hangzhou, Zhejiang, 310014, China","gbm patients receiving pdt treatment (50 cases，surgery combined with photodynamic therapy) and traditional treatment (50 cases，traditional surgery) in our hospital and partner hospitals were collected. the prognosis was analyzed by comparing with the control group from multiple perspectives such as image evaluation, imaging effect, karnofsky score, median survival time and survival rate."
NCT02945826,uPAR-PET/MRI in Glioblastoma Multiforme,UNKNOWN,glioblastoma multiforme,DRUG: One injection of 68Ga-NOTA-AE105|DEVICE: PET/MRI,"ADULT, OLDER_ADULT","Department of Clinical Physiology, Nuclear Medicine and PET, Rigshospitalet, Copenhagen, 2100, Denmark",the purpose of this study is to investigate the applicability of urokinase plasminogen activator receptor (upar) positron emission tomography (pet) / mri molecular imaging of glioblastoma.
NCT04869449,Neuro-pharmacological Properties of Repurposed Ketoconazole in Glioblastomas,TERMINATED,"glioblastoma|glioblastoma multiforme|glioblastoma multiforme of brain|glioblastoma multiforme, adult",DRUG: Ketoconazole,"ADULT, OLDER_ADULT","Penn State Milton S Hershey Medical Center, Hershey, Pennsylvania, 17033, United States","this research is being done to find out if the study drug (ketoconazole) can enter brain tumors at a high enough amount to stop the tumor cells from dividing. ketoconazole is a drug which doctors already use for fungal infections and is thought to be able to effect tumor cells. as treatments for this type of brain tumor are limited, it is hoped that the results of this study will help to determine if the study drug should be studied further as a possible treatment."
NCT04588454,18F-PSMA PET/CT for Visualization of Glioblastoma Multiforme,UNKNOWN,glioblastoma multiforme,OTHER: 18F-PSMA-1007 PET tracer,"ADULT, OLDER_ADULT","Radboud University Medical Center, Nijmegen, Gelderland, 6525 GA, Netherlands",this is a pilot study to determine uptake of pet tracer 18f-psma-1007 in primary glioblastoma.
NCT06271421,NanoTherm In Adjuvant Therapy of Glioblastoma Multiforme,RECRUITING,glioblastoma multiforme,DEVICE: NanoTherm therapy|PROCEDURE: Glioma Resection|RADIATION: radiotherapy according to Stupp protocol|DRUG: chemotherapy according to Stupp protocol,"ADULT, OLDER_ADULT","University Hospital, Poznan, 60-355, Poland","glioblastoma multiforme (gbm), the most common and malignant primary brain tumor in adults is classified as a world health organisation (who) grade 4. surgical removal of the tumor is the primary method of treatment. unfortunately, because gbm is a disease of the entire brain, total resection is not possible. therefore, the use of radiotherapy and/or chemotherapy is considered as stupp protocol. patients with recurrent gbm will be included in the anchiale study.

the goal of the trial is to evaluate the efficacy and tolerance of using the nanotherm therapy system in recurrent gbm.

the main questions it aims to answer are:

1. how nanotherm therapy influences overall survival, and progression free survival;
2. what is the tolerance of nanotherm therapy in terms of side effects (allergies, intracranial bleeding, infections, brain edema, increased intracranial pressure) and quality of life.

participants will undergo:

* initial visit, considering the inclusion/exclusion criteria, neurological examination, and surveys regarding daily functioning and quality of life;
* standard neurosurgical operation aimed, if possible, complete removal of the recurrent gbm and administration of nanotherm asi - a sterile suspension of iron oxide nanoparticles. a catheter will be implanted allowing for measurement of temperature during the first activation in the magnetic field;
* between the 6th and 10th day after tumor resection, a standard computerized tomography (ct) scan of the head will be performed for routine postoperative evaluation;
* after the first activation (10th day), the catheter will be removed;
* subsequently, for 6 times, the patient will be subjected to the variable magnetic field of the nanoactivator® to induce hyperthermia - activations will be conducted on the 10th, 14th, 17th, 21st, 24th, and 28th day;
* for up to 2 years post-procedure, a ct scan with an evaluation of treatment efficacy will be performed;
* during follow-up visits for up to 2 years after the surgical procedure, a neurological examination, assessment of adverse symptoms, number of hospitalizations, number of medical visits, clinimetric assessment regarding quality of life, neurological deficit and degree of disability will be conducted.

researchers will compare nanotherm group with patients undergoing stupp protocol treatment for the abovementioned effects."
NCT06595186,JK-1201I Combined with Adjuvant Temozolomide in Patients with Newly Diagnosed Glioblastoma Multiforme (GBM),RECRUITING,glioblastoma multiforme (gbm),DRUG: JK-1201I|DRUG: Temozolomide (TMZ),"ADULT, OLDER_ADULT","Beijing Tiantan Hospital, Beijing, China","this study was designed to evaluate the safety, tolerability, efficacy and pharmacokinetics of jk-1201i combined with adjuvant temozolomide in patients with newly diagnosed glioblastoma multiforme after surgery and concomitant radio-chemotherapy."
NCT05423210,Atezolizumab and Pre-Surgical Brain Radiation Therapy for Glioblastoma Multiforme,RECRUITING,glioblastoma multiforme,COMBINATION_PRODUCT: Atezolizumab + FSRT radiation,"ADULT, OLDER_ADULT","Stony Brook University Hospital, Stony Brook, New York, 11794, United States","this is a single-arm pilot study that will recruit 12 patients with newly diagnosed glioblastoma, a malignant brain tumor with a poor prognosis. patients will be treated with fractionated stereotactic radiotherapy (fsrt) for 2 weeks, in addition to two doses of atezolizumab (tecentriq), an fda approved pd- l1 inhibitor drug, 840 mg iv, at the beginning and at the end of the two-week time period, concomitantly with fsrt. after this initial two weeks treatment the patients will undergo craniotomy and maximal safe resection as per normal care for a gb. after surgery patients will follow the normal care for glioblastoma in addition to atezolizumab 840 mg iv q2 weeks for the duration of adjuvant treatment."
NCT05120284,Trial of Dichloroacetate (DCA) in Glioblastoma Multiforme (GBM),ACTIVE_NOT_RECRUITING,glioblastoma multiforme,DRUG: Dichloroacetate (DCA)|GENETIC: Genotype,"ADULT, OLDER_ADULT","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, 21231, United States|Wake Forest University, Winston-Salem, North Carolina, 27587, United States","conduct a multicenter, open label phase iia trial of oral dca in 40 surgical patients with recurrent gbm who have clinically indicated debulking surgery planned. no patients will be recruited at uf. patients will be genotyped to establish safe dosing regimens and will be randomized to receive dca (n=20) or no dca (n=20) for one week prior to surgery. deidentified blood and tumor tissue obtained at surgery will be assessed at uf for biochemical markers of dca dynamics."
NCT05589961,Safety and Efficacy of TRPP Therapy in Glioblastoma Multiforme,UNKNOWN,glioblastoma multiforme,DRUG: TMZ,"ADULT, OLDER_ADULT","the Second Hospital of HeBei Medical University, Shijiazhuang, Hebei, China","the primary objective of this study is to evaluate the safety of an innovative integrated treatment regimen for recurrent glioblastoma , including patients with recurrent glioblastoma multiforme."
NCT06404034,Expanded Access to Gallium Maltolate (GaM),AVAILABLE,glioblastoma|refractory glioblastoma|glioblastoma multiforme,DRUG: Gallium Maltolate,"ADULT, OLDER_ADULT","University of Miami Sylvester Comprehensive Cancer Center, Miami, Florida, 33136, United States|Cancer Partners of Nebraska, Lincoln, Nebraska, 68516, United States|Northwell Health, New York, New York, 10075, United States|University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, 27599, United States","the objective of this program is to provide gam for compassionate use in patients with relapsed/refractory histologic or molecular glioblastoma who have exhausted available treatments.

the population of this program is adult patients aged greater than or equal to 18 years with a diagnosis of relapsed/refractory histologic or molecular glioblastoma, according to the who 2021 diagnostic criteria.

molecular glioblastoma is characterized as an idh-wildtype diffuse and astrocytic glioma in adults if there is microvascular proliferation or necrosis or tert promoter mutation or egfr gene amplification or +7/-10 chromosome copy number changes"
